,DESCRICAO
82649,"GEOGRELHA, FLEXIVEL"
82650,OVOS DE GALINHA BRANCO
82651,REFRIGERANTE SABOR COLA
82653,"ALCOOL ETILICO ABSOLUTO P.A.-A.C.S. (790g) 99,5%"
82654,AGUA SANITARIA PERFUMADA 2L
82655,LIVRO AJ L PORT 3 F1 LP PNLD 23 OB1
82656,"RADIADOR - VEICULO, REFERENCIA 46789322"
82657,CABO RETO UNIVERSAL RA: 80094170078 LT: 0018TM
82658,COMP FEM BLOC MET POST 10-C
82659,RETENTOR DE VALVULAS
82660,PACOM DPF NOVO BRASAO - PROMASP
82661,REFIL PARA RODO ALUMINIO 40CM
82662,Farinha de trigo
82663,PRENSA HIDRAULICA MANUAL  100 T DIGITAL
82664,ENDOPROTESE EXCLUDER 27X10
82665,TUBO A VACUO C/ GEL E ATIVADOR DE COAGULO 9ML C/100 - CRAL
82666,PARAFUSO DE TRAVA T2 TIT R TOTAL 5X35MM
82667,Cimento Osseo S/ Antibiotico - S: 07.02.03.138-0
82668,ROLO DE TRANSFER LEXMARK - 40X8393
82669,PACOM DPF NOVO BRASAO - PROMASP
82670,C BV FRALDINHA CG TODA HORA PLENA +-17KG
82671,FILTRO RACOR 2R0127177
82672,0780-H11-T12 - PROLONGADOR HASTE 0 11MM TESTE - 0 11 X 12CM
82673,PROD ACAB 90KG ONU 1075 GLP 21 VD
82675,Acelga Kg
82676,MELANCIA
82677,Pastilha Freio Diant - Bfr 0986bb0981
82678,COCO SECO
82679,MINI PLACA L VERSA 2.0mm 6 FUROS ESQUERDA
82680,PNLD 2022 - Bons Amigos - LA - Pre-escola - v2 - L 0039P22005206IL
82681,2023 - INSPIRE CIENCIAS 7 ANO
82682,MOTOR PNEUM MODULAR POWER PRO
82683,PACOM DPF NOVO BRASAO - PROMASP
82685,"PONTA DE FRESA INTRAMEDULAR 8,5MM            - Lote: 0222K16"
82686,SAPATA LONA FREIO
82687,OLEO DIESEL B S10
82688,ADESIVO PVC FRASCO 850G 0519 'KRONA'
82689,FONE DE OUVIDO MICROFONE HASTE  REF PH002
82690,MULTI USO NEUTRO PERFECT 500ML
82691,Caneta Marca Texto BRW Flourescente Amarela
82692,PAO PAO CASEIRO
82693,DESINFETANTE TALCO VERDESAN 5L
82694,"LAMINA DE SHAVER PARTES MOLES CMA 04,5 X 120MM LOTE:0303H22     MS: 80777280124"
82695,COND. AR SPLIT 18KBTU QUENTE E FRIO
82696,CENOURA
82697,ETICA
82698,MISTURA PÃO FRANCÊS 25KG
82699,FILTRO SOLUCAO DE LAVAGEM M/ABBOTT
82700,JG DE PASTILHAS DE FREIO DIANT
82701,Lapis Grafite BRW HB Preto Redondo
82702,FLIR E8xt (incl. Wi-Fi)
82703,16100-59166-BOMBA DAGUA
82704,FRESA FLEXIVEL 12.5MM SENTINEL ZIMMER
82705,DISTANCIADOR/UN
82706,CJ PIJAMA  AREIA 48
82707,SONDA URETRAL N.08 CARTELA C 5 UNIDADES
82708,VITEK 2 - AST YS08 (FUNGIGRAMA LEVEDURAS)
82709,"CJ PNLD 2023 COLECAO A CONQUISTA VOL 2,4,5 MAT EFAI PROF 0141P23010 - M 0141P23010"
82710,"CJ PNLD 2023 COLECAO A CONQUISTA VOL 1,3,5 GEO EFAI PROF. 0132P23050 - M 0132P23050"
82712,"3093/02 - PARAFUSO CORTICAL 3,5 X 42M"
82713,"PONTEIRA DE ABLACAO TIPO BOLA 90 0 2,5MM X 200MM LOTE:0199I21     MS: 80777280046"
82714,PROTEINA TOTAL - AU680 3000  AU5800 3920 TESTES BECKMAN COULTER Lt: 2599 Val.: 01 11 2022
82715,ARCHITECT FERRITINA REAGENTE 100 TESTES
82716,COBERTURA INFERIOR DA COLUNA DE DIREÇÃO
82718,H7 LAMPADA H7 12V 55W
82719,ANTICORPO CD10 HU ALEXA 700 HI10A 100T
82720,"PARAF. CORTICAL AUTO ROSQ. 3,5X22MM          - Lote: 9931C18"
82721,AGULHA DESCARTAVEL 25 X 7 CX C/100
82722,"01.26.65.30 - PARAFUSO ESPONJOSO COM CABECA RETA 6,5X30MM"
82723,OLEO DIESEL S10 COMUM
82724,PINO ROSQUEADO
82725,TINTA ESMALTE ACABAMENTO ALTO BRILHO COR CAMURCA
82726,CANULA CURVA DE REDUCAO HBFT
82727,TERC - CARRINHO SUPORTE UNID AQUECIMENTO BAIR HUGGER - 675
82728,PARAFUSO 8 ESTRELA
82729,OVO BRANCO
82730,QUIABO
82731,Repolho verde
82732,2023 - GERACAO ALPHA HISTORIA 9 ANO
82733,JG TAPETE
82734,PARAB. L-200 TRITON
82735,HORTIFRUTICOLAS - GOIABA
82736,CADEIRA SECRETARIA GIRATORIA SEM BRACO PRETA
82737,HORTIFRUTICOLAS - PIMENTAO VERDE
82738,ADAPTADOR VGA PARA DISPLAYPORT 19 CM
82739,Pilha Alcalina Toshiba AA LR6GCP Pequena 2UN
82740,Refeição Pronta (café da Manhã)
82741,COLCHETE TAMANHO N. 15 CX./72
82742,CIDADES DO AMANHA - REVISTA E AUMENTADA
82743,LARANJA UMBIGO NACIONAL
82744,MANGUITO ADULTO LARGO REUTILIZ
82745,ANILHA
82746,PNLD 2022 - Col. Criacao - LA - Pre-escola V2
82747,MASCARA DESCARTAVEL
82748,EDITORA MODERNA LTDA. NOVO PITANGUA - MATEMATICA - 3 ANO - PNLD2019
82749,PINCEL DESENHO
82750,"TINTA PINTURA PREDIAL, COMPOSICAO BASICA AGUA E PVA- POLICLORETO DE VINILA, TIPO ACABAMENTO FOSCO, COR BRANCO NEVE"
82751,Microcomputador Dell Optiplex 3080
82752,BISC.BAUDUCCO WAFFER MRGO 140G
82753,MORTADELA
82754,OLEO DIESEL S10
82755,"ESMALTE SINTETICO FOSCO PRETO 3,6 L MAZA"
82756,50544 - BARRA EXTRA CURTA LRS (12CM)
82757,CREME DE LEITE
82758,TERMOMETRO INFRAVERMELHO
82759,LIV - DA ESCOLA PARA O MUNDO - PROJ INT DE LINGUAGENS - PNLD/21 - AL
82760,ESTACOES LINGUAGENS_V(2;3;5;6)
82761,COTURNO DE COMBATE PRETO
82762,AIPIM/MANDIOCA
82763,REQUEIJAO CREMOSO TRAD. 200G
82764,85020092 #AFASTADOR HOHMANN N 4 INSTRUM NAO ARTICULADO CORTANTE MUZY
82765,SUPORTE UNIVERSAL
82766,Cilindro Oxigenio Medicinal PP
82767,LUVA TRICOTADA EM FIO DE ALGODAO
82768,"PARAFUSO BLOQUEIO SNN 4,9X30MM ROSCA TOTAL"
82770,"REAGENTE DIAG; TIPO UREIA , APRESENTAÇÃO TESTE"
82771,Bateria  60 amperes
82772,5550-G-339 #TRIATHLON SYMMETRIC X3 PATELLA
82773,LIVRO PROTOCOLO 1/4 100FLS.
82774,LIVRO NEW ALIVE HIGH VU LA PNLD 21 OB2
82777,GELATINA SORTIDA 1 KG
82778,ALHO PORO/ALECRIM/SALSA CRESPA
82779,"LEGUME EM CONSERVA, TIPO SELETA"
82780,EXPANSOR DE TECIDOS ANATOMICO C/ABAS P/SUTURA 450CC MH Reg MS 80145901512 Cod TUSS SIMPRO 0144490
82781,JET A PRECO FIXO
82782,AUMENTO FEMORAL DISTAL MEDIAL DIREITO LATERAL ESQUERDO 1X 8MM
82783,MISTURA PARA PAO FRANCES
82784,PE DE BRINCADEIRA PRE ESCOLA 4 E 5 ANOS E 11 MESES
82786,6720-0435 #ACCOLADE II 132 TAMANHO4
82787,VETAGLOS POMADA 50 GR *
82788,HP W2020XC CARTUCHO DE TONER BLACK 7500 PGS
82789,Linhas fundamentais da filosofia do direito ou direito natural e ciencia do esta
82790,PACOM DPF NOVO BRASAO - PROMASP
82791,LIV GEOGRAFIA GERAL E DO BRASIL 6 ANO AL
82792,CH. TOCO P. CHATA 6X38 -1/4X1.1/2
82794,CALCA OXFORD AZUL TAM M
82795,MOLA ESPIRAL TRAS TOYOTA HILUX SW4
82796,BATATA
82798,SAL GROSSO KG
82799,VINAGREIRA
82801,ELECSYS PC MARCADORES TUMORAIS -  LOTE : 56140201 - Validade : 31/07/2023
82802,LIXA DE CINTA MAKITA 610 X 100 / GR180
82804,DETECTOR DE TEMPERATURA ENDERECAVEL APOLLO
82805,BERINJELACLASSIFICACAO SEM CARACTERISTICAS
82807,CHAVE DE TORQUE DINAMOMETRICA P AJUSTE DA SONDA AO TRANSDUTOR (ATIVO IMOBILIZADO) Lote: 57K x1 MAJ1117 IMOB
82808,Ameixa (Kg)
82809,COULTER DXH DILUENT (HEMOGRAMA) BECKMAN COULTER
82810,ARCH - SIROLIMUS PRECIPITANTE M/ABBOTT
82811,CONTROL LIQUIC MARCADOR CARDIACO 148 LT-LT:67643 V:31/05/2023
82812,BROCOLIS CHINES
82813,Oxigenio Med Carg Cil WhiteMed
82814,POLPA DE FRUTAS MANGA/GOIABA/ACEROLA/CAJU/CAJA/UMBU
82816,7650-1454 #PATELLA CALIPER
82817,CANULA DE PERFURACAO TAM 2.5MM
82819,Biscoito recheado Chocolate
82820,ENXERTO ENDOVASCULAR ZENITH AAA FLEX  ZSLE-11-90-ZT
82821,MINI PARAFUSO VERSA TORXDRIVE TI 02.0x13.0mm
82822,"BOLSA FEMININA C/ ALCA TIRA COLO TAMANHO GRANDE, SEM MARCA, REF. WAW 038, ORIGEM CHINA, DIVERSAS CORES////"
82823,ACHOCOLATADO PO 400G
82824,HASTE HOOK 5MM (34CM) ELETRODO GANCHO
82825,805330\ELEMENTO FILTRANTE RETORNO S. HID
82826,VACINA CONTRA SARS-COV2 - 6 DOSES
82827,UEPG | POR UMA CRITICA DA GEOGRAFIA CRITICA | Ed: 12013
82828,ALFACE
82829,2022-VEM VOAR MATEMATICA 3 ANO ? 2022
82830,Pilha Alcalina Toshiba AAA LR03GCP Palito 2UN
82831,FILTRO OLEO - PSL134
82833,CILINDRO OXIGENIO MED PAT CONTAINER
82834,LEITE CONDENSADO 395GR MOCOCA
82835,LIV - APIS MAIS - LINGUA PORTUGUESA - 5o ANO PNLD 2023 AL
82836,LIVRO SP PI CIE NA TEC VU LA PNLD21 OB1
82837,RUGINA LAMBOTTE 20MM
82838,REPOLHO BRANCO
82839,CEBOLA TIPO BRANCA
82840,"PARAFUSO DE BLOQUEIO TORXDRIVE TI VERSALOCK T7 ?2,7x20.0mm"
82841,CEIA DIETA ESPECIAL PASTOSA
82842,MAMAO COMUM
82844,VASO  SANITARIO E LOUÇA BRANCO
82845,LARANJA PERA IN NATURA
82846,FRUTA TIPO LARANJA
82847,PIPETADOR DE VOLUMES MANUAL PI-PUMP. 10 ML. VERDE
82848,AVISO DE LICITACAO - PE SRP 01/2023 17/02/23
82849,"CABO ELETRICO FLEXIVEL PP HEPR 0,6/1KVA 4X6,0MM -ROLO 100 METROS"
82850,PLACA ACM 3MM
82851,PACOM DPF NOVO BRASAO - PROMASP
82852,"TESOURA RETA,.80804050053 RMS.80804050053"
82853,COMP FEM CONSTRITO NAO POROSO
82854,"LIXA MADEIRA EM CINTA GÃO 60 DE 610 X 75 MM, EMB. COM 10 UN."
82855,MANGA ROSA
82856,"PARAFUSO PHILIPS CHATO 4,0X50"
82857,CAMISETA MALHA POLIVISCOSE GOLA RIBANA
82858,Broxa Retang 18x8 260 02
82860,COIFA AMORTECEDOR
82861,Batata Inglesa
82862,Microfone Condensador Cardioide - LM-2 - Lexsen
82863,"TESTE FEMORAL PS, TAMANHO F, ESQUERDO NEXGEN"
82864,CILINDRO OKIDATA MC573 AMARELO 30K
82865,VASSOURA PELO SINTETICO C/CABO
82866,"O rei, o pai e a morte"
82867,LIV DA ESCOLA P/O MUNDO: PROJ. INTEGR. 1 ANO - BNCC AL
82868,MATEMÁTICA EM PROJETOS INTEGRADORES
82869,PACOM DPF NOVO BRASAO - PROMASP
82870,Caneta Esferografica Bic Cristal 1mm Azul
82871,BANANA NANICA
82872,"LAMINA DE SHAVER INCISOR PLUS BLADE 4,5MM - ROXA"
82873,Barra de Pinos 1x40 180 Graus
82874,Pilha Alcalina Duracell Palito AAA 2UN
82875,MAMAO FORMOSA
82876,SIM CARD 4G P60 HRS 2 3 4FF UNID OLHAL
82877,APOEMA CIENCIAS F2 7 2020
82878,BARRA CEREAL 25 GR
82879,PIT MAIS P5 0007P23010005LE
82880,MOTOR
82881,ROLAMENTO SEMI EIXO TRASEIRO RANGER NTN C/A
82882,PEITO DE PERU FATIADO
82883,BANANA  FRUTA   IN NATURA MACA
82884,CONDICIONADOR DENTAL GEL 37% SERINGA UND Data fabricacao: 01/08/2021
82885,GUIA INTERCONDILIAR NR04
82886,"Pasta Catalogo Oficio ACP Preta 0,06m com Visor 50 Env."
82887,FIRST PASS MINI RETO
82888,"MUN CBC O 7,62X51 COMUM M1 EX.BR"
82889,HORTIFRUTIGRANJEIROS/CENOURA
82890,"CABO COAXIAL,CONJ"
82891,Cabo Lan 4px23 AWG Cat6 blindado capa simples azul (bobina com 305 mts)
82893,PNEU M.MAG. 90.90.18 CG TRAS. MR5 PREDAD
82894,TONER COMPATVEL RICOH 6110/6210D/1060/1075 45K
82895,"MITO E TRAGEDIA NA GRECIA ANTIGA,"
82896,5532-T-613A #MODIFIED HOLLOW PS TIBIAL INSERT TRIAL #6 - 13MM
82897,Aveia beneficiada branca em flocos finos
82898,VACINA CONTRA SARS-COV2 - 6 DOSES
82900,FREZA CANULADA 11MM
82901,CHAVE SETA VW - 4191 GTIN 7897086514612
82902,"CIALET - ESTETIZACAO DO MUNDO, A - VIVER NA ERA DO CAPITALISMO ARTISTA - LIPOVETSKY/"
82903,MELANCIA
82904,BUCHA-DIANT.ARV.DE MANIVELAS
82905,FILTRO COMBUSTIVEL WEGA       FCI1660
82906,Quadros de Distribuicao eletrico sobrepor em Termoplástico antichama 12 disjuntores codigo 66
82907,HORTIFRUTIGRANJEIROS/BANANA
82908,TINTA ESMALTE PREMIUM ACETINADO
82909,TEO QUER UM ABRACO
82910,# AC3000CD FILTRO DE LINHA
82911,LIXEIRA 120l PRETA
82912,"Filamento PLA Basic Diametro:1,75mm;Carretel (Peso liquido):1,0 kg; Basic Verde"
82913,"FAST-FIX 360, CURVO AGULHADO"
82914,Acetato de etila (FR 3000ML)
82915,PACOM DPF NOVO BRASAO - PROMASP
82916,DURAGUARD STRYKER 054
82917,BATERIA CRAL CL100E
82918,OXIGENIO MED CIL 50L 10M3 VZ
82922,FILTRO DE AR
82923,ESPACADOR PLIFIX POSTERIOR LOMBAR DE PEEK 13mm
82925,BOLA FUTSAL OFICIAL
82926,POLIA TENSORA DA CORREIA DENTADA (FIAT LEVE MECÂNICA - 75%)
82927,LAMPADA INCANDESCENTE 12V   15W
82928,"LIV_MATEMATICA INTERLIGADA - TRIGONOMETRIA, FENOMENOS PERIODICOS E PROGRAMACAO_PNLD AL"
82929,Oleo 5w30 HYUNDAI
82930,SALADA DE FRUTA 400 GR
82931,CEBOLINHA
82932,"PENEIRA QUADRADA DE 50 x 50CM -   9,52MM  - 3/8"
82934,GLP EM BOTIJAO DE 45 KG
82936,623-10-32G #PROT Q INSERT ACETABULARTRIDENT X3 10G 32 G
82938,SABONETE LIQUIDO NEUTRO 5 LITROS
82939,"CACAU, APRESENTAÇÃO PÓ"
82940,HASTE TROCANTERICA SNN 125-11.5X215MM ESQ
82941,RELOGIO TERMOHIGROMETRO
82942,"PLACA PARA FIXACAO DE ENXERTO, 25MM, MOD.GFS MINI LOTE:8953     MS: 80120790063"
82943,CAIXA DE DIRECAO TRITON
82944,FERMENTO INST 500GR
82945,LARANJA
82946,MANGUEIRA JARDIM 3/4 X 50MT
82947,COUVE FLOR - COOPGRANDE
82948,MACARRAO ESPAGUETE FD.10X500G.
82949,BANDEIRA INSTITUCIONAL MATERIAL POLIESTER COMPRIMENTO 62CM 40CM INSIGNIA DE COMANDO COM ILHOS DE METAL PARA FIXACAO.
82950,SUCO POLPA DE ABACAXI EMBALAGEM DE 1KG
82951,"CJ PNLD 2023 COLECAO A CONQUISTA VOL 1,3,4 POR EFAI PROF 0141P23010 - M 0141P23010"
82952,"TREF. 1020 RED. 1/2 ( 00,99 kg/m )"
82953,"Frasco Reagente  Tipo Schott  Vidro Neutro, Âmbar de 500mL"
82954,FORNECIMENTO DE REFEICOES SOB DEMANDA PARA ALUNOS DE GRADUACAO DA UFU RU CAMPUS MONTE CARMELO MG ITEM 2 1 DO PE 094 2021
82955,FARINHA DE MANDIOCA SECA MEDIA TIPO 1 - ACOND.: F - EANTrib.: 7896655400653
82956,AGUA MINERAL 20LTS CRISTALINA
82957,RABO PORCO
82958,"OTICA  - ENDOSCOPIO HOPKINS II 30., 4MM DE DIAMETRO X 231,26"
82959,Introducao a Analise Combinatoria 4Ed 6346
82960,QUEIJO MUSS DEL REY PC/KG
82961,CAMARAO SANTANA EXTRA GRANDE
82963,PARAFUSO BOMBA DE OLEO
82964,APRESUNTADO
82965,"CHALEIRA ELETRICA 1,7 LITROS 220V"
82966,BETERRABA IN NATURA
82967,SOLUCAO P/HEMOD.FRACAO ACIDA
82968,ARCH - HTSH CAL M/ABBOTT
82969,RODO PLASTICO 40 CM SEM CABO
82970,MULTIFUNCIONAL OKIDATA MC362DN
82971,ROLO ALUMINIO 30X100M
82972,Copo Descartavel PS Branco 50ml 100UN
82973,RIVASTIGMINA - 18MG /10CM - EXELON PATCH 10 - NOVARTIS
82974,"FACA DESCARTAVEL, MATERIAL PLASTICO SOBREMESA PCT C/50"
82977,"TINTA ACRILICA FOSCA, BRANCO NEVE"
82979,Caneta Marca Texto BRW Flourescente Verde
82980,ABACAXI
82981,ELASTICO ORTODONTICO
82982,"Thomas Bernhard e Seus Seres Vitais: Fotos, Documentos, Manuscritos"
82983,(003 / 054) PULSEIRA ANTIESTIESTATICA ESD C/ CABO ATERREMENTO
82984,PEDRA ENSACADA
82985,FILTRO LUBRIFICANTE
82986,"PARAFUSO CORTICAL AP 2,0 X 6MM-TI-CROSS-DRIVE"
82987,BATERIA 90 AP HELIAR HG90LD / HILUX
82988,"ESPÁTULA, MATERIAL SILICONE, COMPRIMENTO 29 CM, APLICAÇÃO COZINHA"
82989,BOLINHA DE TENIS C/6
82990,Placa eletrônica
82991,PNLD 2022 - Porta Aberta - LA - Pre-escola V2
82992,JUNTA
82994,OLEO COMPRESSOR
82995,GUACOTOSS 100ML SEM ACUCAR VP LOTE:08122 VAL.:10/02/2024
82996,LAMPADA LED 15W E-27
82997,PAPEL HIG CARINHO OLE FD L12P11 12X20M PT/0001
82998,CABECA DE PROTESE CONE
82999,AZEITE DE OLIVA 500 ML
83000,COMPONENTE FEMORAL LPS-FLEX OP
83001,PARAFUSO DE INTERFERENCIA EM PEEK-INTERFIX 8X25MM LOTE:0134A22     MS: 80777280133
83002,NITROGENIO LIQ CAMINHAO TANQUE .
83004,ESTOJO ORTOGNATICA 2.0
83005,BUCHA TRAS DA BALANCA DIANT
83006,BATATA DOCE ROSADA EXTRA AA
83007,LIMAO GALEGO
83008,"CLIP ANEURISMA STD. PERM. SEMI CURVO 8,3MM"
83009,PAULUS - PATRISTICA - TRATADO SOBRE OS PRINCIPIOS - VOL. 30 - ORIGENES 1 Ed 2017
83010,TINTA ACRILICA COR BRANCO NEVE
83011,FORNO TURBO DIGITAL ELETRICO DIGITOP 10 EST TRIF 220V FTDE10 15905 VENANCIO
83012,PNLD2021 ENGLISH VIBES - VOL. UNICO - AL - L 0224P21093130IL
83013,DESK DELL 3090 I5 8GB W10P 210-BCRR-JQD6 DELL
83014,PE DE BRINCADEIRA PRE ESCOLA 4 E 5 ANOS E 11 MESES
83016,TRENA ABERTA FIBRA 50MT
83017,CIMENTO PORTLAND COMPOSTO CP II-32
83018,SACO LIXO PRETO 100 LT
83019,QUIABO
83020,PARAFUSO PEDICULAR POLIAXIAL PEDIMAX II 05.5x35mm
83021,CONTROLE ENVIO BIOL. CONGEL. VERDE S/SIMBOLO 37X16MM TAM. P
83022,PRENDEDOR DE PLACA
83023,"TINTA ACRILICA MEGA-PISO BRANCO 3,6 LT - HIDROTINT"
83024,BOVINO MOIDA MUSCULO (BOVINO MOIDA MUSCULO)
83025,FERRO A VAPOR 127V MULTILASER HO009
83028,"BOLO DE OVOS, PROGRESSO."
83029,FILTRO DE AR
83030,TOMATE CEREJA
83031,Lamina de bisturi nr 10 S
83032,TELA FILTRO GRADE DE AR
83033,ABOBORA
83034,COMPONENTE FEMORAL LPS-FLEX OP
83036,"CHAVEIRO RFID 13,56MHZ TH 1000 INTELBRAS"
83037,MONITOR PORTATIL DE CAMPO DE REDIACAO
83038,ESCORREDOR PRATOS/TALHERES 20 LUGARES
83039,PARAFUSO CORTICAL 03.5x24mm
83040,TANGERINA PONKAN
83041,OVOS DE GALINHA
83042,"TERMINAL DE COBRE CU 0,5 1,5 FEMEA PRE-ISOLADO-VM"
83043,DISCO ARTIFICIAL M6 MEDIO-LONGO 7X15X15
83044,BISCOITO WAFER
83045,PIPETA PLASTICA GRADUADA COM A DAPTADOR DE BORRACHA ADEQUADO PARA REALIZACAO DE VELOCIDADE DE SEDIMENTACAO GLOBULAR (VS
83046,ENBREL 25mg PLSI 4x1ml FRPV + SEVI MOHBR
83047,Plug Canon Macho Pt 062-8010
83048,APARELHO DE PRESSAO DIGITAL PULSO
83049,CEBOLA ROXA
83050,POLPA DE FRUTA - MANGA
83051,PATINHO ISCAS 1KG CONG.
83052,32850682E #PLACA CALCANEO 68MM R
83054,"COOLANT, LIQUIDO ARREFECIMENTO"
83055,LIMPADOR MULTIUSO TRADICIONAL 500ML
83056,PERA
83057,"BROCA DE ACO 4,5X150MM - Lote:K36569 - Valid:31/12/2049 - Anvisa:10223710125 - Ref.: 2073"
83059,ABOBORA
83060,VALV.AGULHA 020 TP 1/4X1/4
83061,LARANJA PERA
83062,TECLADO E MOUSE SEM FIO REF. TC251
83063,EXTENSAO ELETRICA 3 TOMADAS 5 METROS 10A 2P - COM 3 PINOS - NOVO PADRAO
83064,CENOURA
83066,MOUSE USB OPTICO PT 1000DPI
83068,D225 ( PK Assuntos Subgrupo) | Kit L - Lote:  UE112453 Validade: 13/06/2023
83069,Saco Plástico PEAD para autoclavação (Esterilização e Descarte de resíduos Lab.)
83071,BISCOITO WAFER (VIS)
83072,KIT_VIDA CRIANCA - HISTORIA - 1o AO 5o ANO_PR
83073,Telha Ceramica Colonial 46cmx18cm Cor Ocre
83074,AMORTECEDOR DIANTEIRO
83076,"REAGENTE PARA DIAGNOSTICO CLINICO 6, TIPO SISTEMA IDENTIFICACAO BIOQUIMICA, TIPO DE ANALISE SENSIBILIDADE BACTERIAS GRAM"
83077,IOGURTE COM POLPA DE FRUTAS C/ 6 UN
83078,AGUA SANITARIA QUIMICPAR 5L
83079,MANTEIGA
83080,PRO SUINO INICIAL II EA 40KG
83081,(O) FILTRO AR MOTOR TRITO SP
83082,BOLSA TERMICA COM REDE SUPERIOR
83083,"RACK TIPO 8 - RACK MODULAR ( A 32 X C 78 X L 38,50)"
83084,P.T.ALPINIA 2D 20X21CM C/1000UN
83085,REQUEIJAO
83086,BULK
83087,"FERRO VERGALHAO 4,2MM DOBRADO/RETO - FERROCOL"
83088,Limao Kg
83089,CARREGADOR DE CELULAR ITEM NO: ALE2021 - 4
83090,AR-12140 INST CORT ARTIC P/ARTROSC REUTIL TESOURA COM PONTAS SERRILHADAS DENTADAS RETAS EIXO RETO
83091,CARRYAL 6 48V ELECTRIC IQ                          Serie: JR1323376180
83092,BISCOITO CHAMPAGNE - 150 g
83093,PAPEL  TOALHA INTERFOLHADO
83094,CORREIA ALTERNADOR
83095,BUR MAIS CH1 0024P23366001LE
83096,GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL
83097,QUEIJO FATIADO
83098,CEBOLA BRANCA
83099,RUMINOL 100ML *
83100,PARAFUSO VASO E BIDE B10 80MM BOGNAR
83101,HORTIFRUTIGRANJEIROS/ABOBRINHA
83102,IOGURTE EMBALAGEM 900 ML
83103,"Condimento, tipo: Manjericao, apresentacao: natural."
83104,MEDIDOR DE PROFUNDIDADE 2.0/2.4 45MM     RA: 80094170022 LT: 566210
83105,"REFRIGERANTE,SABOR COLA"
83106,BATATA DOCE
83108,SOLENOIDE
83109,FBF CULTURAL LTDA. Evoluir CORPO E MOVIMENTO: VOLUME 3: LIVRO DO ALUNO - PNLD2019
83110,OBSERV CIE 9 ED3 0344P20032009IL
83111,BANANA PRATA KG
83112,MINI PAR.CAN.DE COMP.04.0x18x36mm ROSCA PARC.LONGA
83113,"FRESA CANULADA ENGATE RAPIDO 2,7MM - Lote:19K004659 - Valid:31/12/2049 - Anvisa:10223710125 - Ref.: 2615"
83114,JANTAR NORMAL GUARN BRIGADA
83115,CENOURA
83116,CHAPEU ESPECIAL DE CAATINGA (BEIJA-SANTO)
83117,"CABO 0,6/1KV FLEX 1X 6MM AZ"
83118,SACO DE LIXO 100L H2BE 100UN
83119,TEMPERO COMPLETO SEM PIMENTA
83120,PAO FRANCES
83121,BATATA INGLESA 1ª QUALIDADE
83122,"CONEXAO HID MAT PVC TIPO TE 90 FIX ,SOLD"
83123,"VENDA CARIMBO ACRILICO, TAMANHO ÁREA DE IMPRESSÃO 30MMX30MM, TIPO AUTOMÁTICO."
83124,BANANA PRATA
83125,CHEIRO VERDE
83128,"MULTIMEDIDOR;ELETRICO;110-240VCA;7KM2112-0BA00-3AA0,SIEMENS"
83129,CIALET - NOTAS SOBRE A PANDEMIA - HARARI 1 Ed 2020
83130,SUI IND SALSICHA S/C NOBRE 12 KG
83132,"SUPERFICIE ARTICULAR LPS-FLEX DE TESTE, TAMANHO GH, 23MM, PA RA PLACA 5, 6 NEXGEN"
83134,ARCO DE SERRA 12' REGULAVEL
83135,COLA INSTANTANEA 5GR.
83136,"Teclado Alfanumerico, Padrao PTBR, Aplicacao em Maquina de Processamento de Dados, KB216, EAN Code 7899864908835"
83137,"PARAFUSO AUTO ROSCANTE 1,8 X 11,0MM (EMERGENCIA)"
83138,PLACA TIBIAL TESTE TAM 7
83139,"CONE ENDODONTICO, TIPO ABSORVENTE, MATERIAL PAPEL, CALIBRE Nº15/40, COMP. 28MM, APRES. ESTOJO C/120 PONTAS."
83140,PINCEL TIPO TRINCHA DE 1'  P/ METAL
83141,TAMPA CONDULETE PVC 1TOM RED CINZA 3/4
83142,Gelo Cubo - Kg
83143,PLACA
83144,ROLAMENTO DE ESFERAS PARA BRILLIANCE
83145,"FRANGO CONGELADO (COM CABECA, PESCOCO, FIGADO E MOELA) - 18KG NAT"
83146,FILE PEITO FRANGO KG
83148,OVO BRANCO
83149,CABO ELETRICO COBRE NU 25 MM CLASSE ENCORDOAMENTO 2A NBR 6524
83150,CATETER INTRAVENOSO N.22
83151,Lamina para Estilete BRW 18mm 10UN
83152,REFEICAO PRONTA TIPO ALMOCO
83153,GUARAVITA 290ML
83154,PLACA RETA 2.0 DCP 06 FUROS
83155,COMINHO
83156,REFRIGERANTE SABOR GUARANA 2 LITROS.
83157,AGUA C/GAS 500ML
83158,COTTON AZUL 0 45CM MTR35                 2217731N    VALIDADE: 19/04/2027   UN: 24
83159,CALCARIO AGRICOLA - KG *
83160,CHUCHU KG
83161,PALHETA LIMPADOR TRAS GOL GV/FOX/CROSS FOX '10'
83162,SACO PLASTICO PARA LIXO 40 LITROS
83163,PEDRA BRITA N.1
83164,Limao Taiti
83165,BIOCOMPOSITE INTERFERENCE SCREW FULL THREAD 8X28MM
83166,FILTRO
83167,FILTRO COMBUSTIVEL
83168,BEBIDA LACTEA
83169,CATCHUP 400 GR
83170,CANETA ESFEROGRAFICA AZUL
83171,FILTRO DE COMBUSTÍVEL
83172,LANCHE
83173,MELANCIA
83174,CREME DE LEITE 200 GR
83175,TECENDO LINGUAGENS-LINGUA PORTUGUESA 0026P20012007IL
83176,SEMAGLUTIDA / PLACEBO 14mg
